,user,song,play_count,interest,score
31808,02471b044e6bdff7c01e1ea2791214268ba5aaf4,SOPZKGR12A6D4F3F3A,1,0,1
34854,d0a2c5ac5ce1bc3573224d910fe3adfb85d4ee3f,SOQIOXQ12AAF3B2A37,3,1,1
20635,787520b7886d0044cef96c4582890d05f762f76d,SOKVZHI12A58A7A13E,1,0,1
29494,1272d32979a6ecd4f8b48cf25c9738c2298e0b4f,SOTHRRH12A8C13DCBA,1,0,1
35491,2b8b819c92836d86d891d2c41bd25fdffd759898,SOYMIMI12AB0181E5C,7,1,1
25962,9f47e73fa4afd61e44c715d6415891a801459441,SOXPDDQ12A58A76829,13,1,1
28018,1ba976595e1484dfe7d5ce29231922ca1b0dbd27,SOWGXOP12A6701E93A,1,0,1
23716,fd1ebc6caa7ad07c84677ba6bada683077bf0f15,SOKRAMY12A8C140804,1,0,1
25644,25f202e6e02803d3e2f19fea3f88293e24483196,SOFVZRE12A8C139783,3,1,1
14678,625d0167edbc5df88e9fbebe3fcdd6b121a316bb,SONHVVE12AB018D038,1,0,1
9563,113255a012b2affeab62607563d03fbdf31b08e7,SOZYBGN12A8C13A93C,2,1,1
35678,2744a71984cdf296fb94de2b9d5aa0f065ffb1ab,SOUNNWW12AB018795D,1,0,1
35399,339fbf843dcf3f7ec3a7f43c37b6a1ff37f5b817,SOUCKDH12A8C138FF5,54,1,1
26956,ec65de93b89e3301f3479bdaa0a98c0afbd4ffef,SOPUELG12A6701D215,2,1,1
23639,2c2790c0ce23f00f1b642fd356ec6854a133d083,SOWEJXA12A6701C574,3,1,1
1949,48567d388c6a7dda0e9d0a7b6648bdb42440475c,SONYKOW12AB01849C9,12,1,1
23850,d2423c01882062ac950909b0ffe96b30e54ab063,SOHFJAQ12AB017E4AF,2,1,1
24997,6221f83782d97a9718f1fd9178f789d29d68e614,SOWRTJD12A8C132704,1,0,1
26834,e9073fcbe8aa26ed90752c7d620a611fbc3f0b9c,SOMNGMO12A6702187E,5,1,1
3610,25f83a09541073b1bde62e6e513cb938d3b148de,SODCNJX12A6D4F93CB,9,1,1
18137,a2679496cd0af9779a92a13ff7c6af5c81ea8c7b,SODGJKH12AAA8C9487,11,1,1
19204,9b06094a34c6c421b86df33c879b8980d1038cd8,SOWGEWN12A6D4F789B,8,1,1
4015,96f7b4f800cafef33eae71a6bc44f7139f63cd7a,SOMRYYN12A6310F0F3,1,0,1
35142,6270f977ebf8da9f90e2ff2d23bc570fa012b5ee,SONOYIB12A81C1F88C,9,1,1
6798,b6294fa6a76a84789d038b7133ddc308391bacc6,SOJYBJZ12AB01801D0,15,1,1
36307,d7d2d888ae04d16e994d6964214a1de81392ee04,SOXLDLO12AB0186373,6,1,1
4275,e5b1a35349132afe4f96dd6b39cdc4d94031eb1b,SONWUZV12AB0180BAD,5,1,1
18441,7aea7fc1f48e8f32b403113baec0c0a8c6086ce4,SOXTTHY12A8C137072,1,0,1
32512,68bfa6f926e2b47eefe4ca41a2b1eb7b4d4fc001,SOHTKMO12AB01843B0,21,1,1
28651,c1255748c06ee3f6440c51c439446886c7807095,SOTVLQY12A58A798C2,1,0,1
16760,cc60505d5994ddcd6103a2bf1faf5f774b7909d3,SOPUCYA12A8C13A694,1,0,1
5594,05be6a588cc454d1e400a358c562807aeec8c054,SOWUZVU12A6D4F914D,1,0,1
19433,2eb0876f28b485ed457921f6514079bf6be1e0cf,SOTGHQR12A8C1406C5,11,1,1
33506,22f6aae94643c2cea285413068f80274e7f1f75e,SOUFPNI12A8C142D19,6,1,1
7495,5a828f20d611efe2d818ca48edf3b792f4e69e66,SOEPZQS12A8C1436C7,65,1,1
32275,aff2b00aeba4a389d22c474dc33645e0a6dfd56e,SOPXKYD12A6D4FA876,5,1,1
37219,73a9b86c602d2ab5eb151b77f58bb6e7315dd7b2,SOVFFSK12A6BD55C96,9,1,1
3693,25f83a09541073b1bde62e6e513cb938d3b148de,SOOJJCT12A6310E1C0,1,0,1
10564,49b142551f26ec13c3376b1d5601eff26649927c,SOWBYZF12A6D4F9424,2,1,1
8919,33e54fd5947474ddce07fb284ac469d9664e7a73,SODJWHY12A8C142CCE,73,1,1
5954,7ffc14a55b6256c9fa73fc5c5761d210deb7f738,SOHTKMO12AB01843B0,22,1,1
2196,a15075a926c1998d91940f118342ba8356efc7d4,SOJTLHS12A8C13F633,3,1,1
13470,e0892dd1ac13bb10434b026372e7a0d2fae62444,SOWAACZ12A8C135AC1,2,1,1
34676,fa5d9eddc010bc3fc71f8a42db15e5dd4f1c18a3,SOMNGMO12A6702187E,1,0,1
1780,debd74c1999b195eeddf09bc0af751c93a52c205,SOUNZHU12A8AE47481,6,1,1
17893,f0da5f1500f48e04e8162df28ebbeb1d5eca3cc9,SOTIDKX12A6D4FA7EA,2,1,1
682,7e40c676afe9ffcb80dfcb62e2acffd26ae21996,SOZVUCT12A8C1424BE,24,1,1
17014,4d905807e921aadd4995b5e3493d6a44863c84e5,SOKKKZW12A6D4F7F88,12,1,1
36760,7e543508a213f4f22e0cb54ecf2df9c370070a28,SOWPASM12A8C142B88,1,0,1
27933,6d8d89c2073247e77fd23f8f53f9185a1b05c214,SOMMKEW12A58A80F00,1,0,1
24128,2a3d80f37b92fa113d4f4b0785d797153cca5f63,SOVBRCP12A6701D7B5,11,1,1
35506,97e2a28f577accc9efa329a9f78f151994f917b4,SONIQRE12AF72A2B02,1,0,1
14637,625d0167edbc5df88e9fbebe3fcdd6b121a316bb,SOCKSGZ12A58A7CA4B,3,1,1
37165,104bcda48463a99997f668b897c32234793cd514,SOLWRZI12A6D4FC4F0,1,0,1
476,283882c3d18ff2ad0e17124002ec02b847d06e9a,SOQHWMN12A6701E2D9,21,1,1
20490,9a285ec67a19e65bc86ff3a8b6b23463e579be3a,SOKUPAO12AB018D576,2,1,1
21047,38e4d46aaa581c4ec558c4e76e613dec9947c7e4,SOLRPJX12A58A79808,25,1,1
12022,e2365d08cab3e0dc773d7050875d506260ecb812,SOHZPIK12A58A7CCAE,3,1,1
1167,358e0fdc1b9d9a219ccea844b58bd8e6e35f0533,SOKMHKY12AF72AB079,1,0,1
9686,4e73d9e058d2b1f2dba9c1fe4a8f416f9f58364f,SOHRQFL12A6D4F3C8A,1,0,1
37409,d964fc033291078031d117ed10adfb615948256d,SOWKKGX12A6D4FCC01,3,1,1
2016,82cd7de99ecda208dcd18346892859f35daf0520,SOUFNSM12A58A77715,1,0,1
12509,a0cce68e115910e1ad80fd1502bab746c74835f5,SOHNVHC12A6D4F95AB,2,1,1
35831,8ec7fd0c1acf1dbe44720e5eab44dbe524eb6caf,SOLWZVR12AB01849C6,8,1,1
30840,b7c24f770be6b802805ac0e2106624a517643c17,SOWYYUQ12A6701D68D,5,1,1
17001,e740128a5500e4935a4ded8c736599f1e14b8406,SOUZDWT12B0B80BC62,5,1,1
32983,13a2d690b099bcd3fdd256bd39aa14edadd5db08,SOYALKY12A8C137576,3,1,1
26118,3a7b8d494de0d2ee3466c172e4713acaa1f27131,SOKZZGT12A67ADA4C3,2,1,1
20857,8f60fbacfa3387330c6114aec91aff41adc3379b,SOPQLBY12A6310E992,1,0,1
4093,96f7b4f800cafef33eae71a6bc44f7139f63cd7a,SOWGEWN12A6D4F789B,1,0,1
3888,54d07c4eff369f457c7a5d1c0b9b6c48feb949f4,SOSLQGG12A6D4F5045,5,1,1
18718,b4cfdefb94d1df6714c9962923edb73470e6fa7b,SOOXJDU12A8AE47ECB,25,1,1
13182,c9f6fe7decdc7ca98d226717b4e3d660253c224f,SOSQIHH12A8C13370B,7,1,1
2074,360dfc77809fc2f4a5863eb59bcf4191de6635ef,SOTEPSZ12AB018C99D,4,1,1
930,1aa4fd215aadb160965110ed8a829745cde319eb,SOPXKYD12A6D4FA876,7,1,1
9708,4e73d9e058d2b1f2dba9c1fe4a8f416f9f58364f,SOLOFYI12A8C145F8D,2,1,1
21783,138d73356c23e6e12aa82fb5dc9225428c196464,SOMWCVL12AF729E81A,1,0,1
26055,14704dda3b07d77a3ec68db2252c7c713553fcc0,SOPPROJ12AB0184E18,2,1,1
29854,2b3e60309a89ea57df2f9ffe7dcb5871fcc8bc83,SOXZTLV12A6701FFDD,3,1,1
27027,78ff529b40fa23594d41b0ea65d74083d21474b8,SOXKOIY12A8C13C1EA,15,1,1
36057,4d98756ff69be79de228c15432245766d4bf0316,SOTGZIH12A8C1428A5,11,1,1
14178,3e6dd161e97e7bd0e20986e7f5e391e5d24e0a62,SOWDLPO12A6D4F72BB,1,0,1
3655,25f83a09541073b1bde62e6e513cb938d3b148de,SOJSTYO12A8C13F200,5,1,1
12708,00d7dede8a10a03ea0b2d4a08449a9776d414923,SOUXIXD12AF72A1592,2,1,1
5805,2f72cbcbf49aac438f614626d86c5e93efb82206,SOXFXDH12A8C13326E,2,1,1
5610,8ad6a386e7b601c0072c337ec6f86d084d1ba556,SOBONKR12A58A7A7E0,3,1,1
32978,13a2d690b099bcd3fdd256bd39aa14edadd5db08,SOXKFRI12A8C137A5F,1,0,1
8255,5e4783b839d270419d7959ad49bd9402f154a7b4,SOUMOMJ12A6701DFDC,3,1,1
13953,8cbcb30da89e66b46136dca4f3ab5d70893f7db8,SOQZYQH12A8AE468E5,1,0,1
2500,0b19fe0fad7ca85693846f7dad047c449784647e,SOVJHCB12A8AE4636E,3,1,1
4071,96f7b4f800cafef33eae71a6bc44f7139f63cd7a,SOUBXSF12A6701D23C,1,0,1
22761,f799c4ea9030eea12c078db1c1fcd5fa956e786b,SOMORYX12B0B80908A,3,1,1
30230,7e80a4beb851feae1f2c16a2779f0e9ff424647a,SOGTQNI12AB0184A5C,27,1,1
9215,bd158e566db8d5879124cf177d2ee91e80362075,SOVIZNF12AF72A710A,11,1,1
25933,9f47e73fa4afd61e44c715d6415891a801459441,SOMDVSL12A6D4F7230,5,1,1
10801,4468ce74671606114d8fe94ebbd928b9e925d049,SOYGQGR12AF72ABAB8,10,1,1
6997,b3dd0cfd6801e5af3a1a42acd9055f97c0112ad8,SORJICW12A8C13640D,11,1,1
4482,dae0bbb6e964a8f5495fa6edfb7321437b28b5a1,SOLWZVR12AB01849C6,47,1,1
14327,f99a25251dfd3c44b629c3658bf6c0d0a7a3d0ce,SOLOZRE12A8C133256,1,0,1
37247,35b1d8452b62242a2ded2dc5ea05a0a407023cf7,SOLFXKT12AB017E3E0,1,0,1
23350,738759001498928d8dcb054cd53a1a0cfc200d36,SOYDHXP12AB01849D4,1,0,1
32459,83522e9d56c3cda41d1853465f1b05f4c2d07550,SOSVPIE12A6D4FA873,36,1,1
16921,31aad1036a404737ee8b88ea2da68813c9a46874,SOSYOHI12A8C144584,3,1,1
1,4e11f45d732f4861772b2906f81a7d384552ad12,SOCVTLJ12A6310F0FD,1,0,1
33748,148163a8a9c6173a11fb36c3215c1a19251e63c8,SOYUDDS12A6D4F7BD6,2,1,1
20412,9535d0f428a17456258c0e8e16f6e7ca282ecaf7,SOJTLHS12A8C13F633,15,1,1
13326,40512c7d4dbe8126c88a794a8bc7bf094b401d64,SONQJCU12A8C144398,1,0,1
25880,0aae6978a0342cf0c356aa8a28ec6516df684025,SOMEUED12A6701DBEA,6,1,1
3128,8c800d6ece52acb6aff6ab60d991d090c84aabdc,SOTCMDJ12A6D4F8528,10,1,1
11576,db6a78c78c9239aba33861dae7611a6893fb27d5,SOSNTSY12AF72A7B43,4,1,1
21110,d8fed2e63f7d78824128282abc2e9a0a3fcfdfe0,SOZPPYS12898B694CE,1,0,1
24100,2a3d80f37b92fa113d4f4b0785d797153cca5f63,SOQWSHS12A6701C576,3,1,1
34516,91008efedbdb903424a51e3cd18b8b80624dd4f4,SOWQXHG12AB0189D1A,1,0,1
35586,2744a71984cdf296fb94de2b9d5aa0f065ffb1ab,SOLWZVR12AB01849C6,7,1,1
33002,fb644c3f2a83114325dc67b97df0bce60b5ac9a1,SOFKABN12A8AE476C6,13,1,1
30812,b7c24f770be6b802805ac0e2106624a517643c17,SOUPMLF12A6701EAFE,2,1,1
15226,736083bd7ecd162effb7668cab6c281945762e85,SOWIMTL12A8C1386DC,1,0,1
13618,a35cd4647f5eaf7fe9c79adfe8d9ec45b8bf3bd3,SOPZVSB12A8C13E2EF,8,1,1
28351,bb0c93f971ee41a7bdfedcd9aad701bfadfca5c8,SOQZYQH12A8AE468E5,2,1,1
10092,d5a0a13d3d1898d80ef470916a05794f664c14df,SOSUWJE12AB0184567,3,1,1
9066,5339907639d69d89e0447aad8e0277d5e455dc76,SOXAQJS12AB018CBF7,4,1,1
18840,1a3cebe4f11f71abf431387fb5854423052e93db,SOOTKWZ12AB0181082,1,0,1
23533,b80501c77662b97dcf29488faa7ff154a40c8ce6,SOPLUOT12A6D4F7AC3,1,0,1
23508,b7032f457c624e23113c39b2f9c444a961c3fdf8,SOZSZTY12A8C13B693,1,0,1
29779,125878fa33947aaf4a8cdb1fb4843298f31a0ae0,SOMDVSL12A6D4F7230,35,1,1
2785,972cce803aa7beceaa7d0039e4c7c0ff097e4d55,SOUFTBI12AB0183F65,1,0,1
25921,7d4736c0c05264716e87d7fc825a535e0a01ba6d,SOWNIUS12A8C142815,1,0,1
30412,bd3478df2f64daf2e38b0550c988157b2c118481,SORGVYS12A8AE48882,2,1,1
9125,e04a9e4861256079476c25d655d97c1c5603b3cd,SOSUZFA12A8C13C04A,1,0,1
32823,66abc1ae25dca07b75109164f9dacfe33f9572ba,SOMZVGZ12A8C140EFF,3,1,1
25606,3b93435988354b1889de1e71810d1dd65c4ba17c,SOSNOSA12A67ADA05B,3,1,1
34299,3996245591e28d4ab3fc572cae1c44c456e2fa34,SOVXBOT12A8C136816,168,1,1
26312,860fb8adde6bc5718f49cc995a8655be11c6536c,SOMMKEW12A58A80F00,2,1,1
7643,ceb2cb3d77d5ff423d93b5b52c74df5b133cee95,SOPUCYA12A8C13A694,1,0,1
32291,aff2b00aeba4a389d22c474dc33645e0a6dfd56e,SOZYDZR12A8C13F4F0,4,1,1
15784,767707cf1a42d06669186ae1fa31ff39427fbf60,SOPXKYD12A6D4FA876,69,1,1
4643,c1912062175dc4b3ea5a3a0cdb963c704bb9c881,SOSQIHH12A8C13370B,1,0,1
24863,2be94fe8976330172517c748780600f38ff55c2c,SOXVVSM12A8C142224,6,1,1
18913,7c613c77527fc728438c365fdb233769404c3424,SOQQQMM12A6310DFCC,15,1,1
4104,96f7b4f800cafef33eae71a6bc44f7139f63cd7a,SOXGTRO12A8C143454,1,0,1
12826,52c79ed4030798e03f90cc2f46de9a92b7537c92,SOXKFRI12A8C137A5F,1,0,1
8688,4552b85a1b315556ad50d4a10942a3e86fc7d72c,SOJTLHS12A8C13F633,5,1,1
14590,91cf50e35e3fa924450d86ecae248b7cea113f0b,SOVMWUC12A8C13750B,12,1,1
23001,18c1dd917693fd929e3f99dd7906c2aafe9ff17f,SOODSPH12AB01819C3,9,1,1
27860,ceac6b2713499c25cf217ec915063de66e26a586,SONNSYV12A8C146BEC,3,1,1
